name,ida_name,name_a,toggle_type,all_envs_match_s,class_s,code_owner_s,computed_status_edge_s,computed_status_prod_s,computed_status_stage_s,module_s,newest_modified_s,note_s,oldest_created_s,creation_date_a,default_a,description_a,implementation_a,line_number_a,source_file_a,target_removal_date_a,tickets_a,url_a,use_cases_a,warning_a
ACE_CHANNEL_SAILTHRU_DEBUG,lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ALLOW_HIDING_DISCUSSION_TAB,lms,ALLOW_HIDING_DISCUSSION_TAB,django_settings,,,,,,,,,,,2015-06-15,False,"If True, it adds an option to show/hide the discussions tab.",DjangoSetting,"[6, 6, 6, 6, 6, 6, 6]",lms/djangoapps/discussion/settings/common.py,,https://github.com/openedx/edx-platform/pull/8474,https://github.com/openedx/edx-platform/blob/master/lms/djangoapps/discussion/settings/common.py#L6-L6,['open_edx'],
APPEND_SLASH,lms,,django_settings,True,,,True,True,True,,,,,,,,,,,,,,,
AUTH_TOKENS['AWS_QUERYSTRING_AUTH'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
AUTH_TOKENS['BULK_EMAIL_LOG_SENT_EMAILS'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['CELERY_BROKER_USE_SSL'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
AUTH_TOKENS['CSRF_COOKIE_SECURE'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['EMAIL_USE_COURSE_ID_FROM_FOR_BULK'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['EMAIL_USE_TLS'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
AUTH_TOKENS['ENABLE_AUTHN_LOGIN_BLOCK_HIBP_POLICY'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['ENABLE_AUTHN_LOGIN_NUDGE_HIBP_POLICY'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['ENABLE_AUTHN_REGISTER_HIBP_POLICY'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['ENABLE_AUTHN_RESET_PASSWORD_HIBP_POLICY'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['ENABLE_COMPREHENSIVE_THEMING'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['ENABLE_COPPA_COMPLIANCE'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['ENABLE_DEMOGRAPHICS_COLLECTION'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['ENABLE_DYNAMIC_REGISTRATION_FIELDS'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['ENABLE_SAVE_FOR_LATER'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
